positionRank,player,pos,team,passComp,passAtt,passYds,passTds,passInt,rushAtt,rushYds,rushTds,rec,recYds,recTds,points
95,Storm Johnson,RB,Jaguars,,,,,,35,154,1,2,12,0,22.6
96,Joseph Randle,RB,Cowboys,,,,,,45,158,0,8,56,0,21.4
97,Charles Sims,RB,Buccaneers,,,,,,24,108,0,12,94,0,20.2
98,Matt Asiata,RB,Vikings,,,,,,38,125,1,3,12,0,19.7
99,Justin Forsett,RB,Ravens,,,,,,20,86,0,8,52,0,13.8
100,Kyle Juszczyk,RB,Ravens,,,,,,8,20,0,12,84,0,10.4
101,Michael Ford,RB,Bears,,,,,,20,82,0,2,14,0,9.6
101,Damien Williams,RB,Dolphins,,,,,,24,84,0,2,12,0,9.6
103,Brandon Bolden,RB,Patriots,,,,,,12,53,0,2,13,0,6.6
104,LaMichael James,RB,49ers,,,,,,10,47,0,2,14,0,6.1
1,Calvin Johnson,WR,Lions,,,,,,0,0,0,92,1546,12,226.6
2,Demaryius Thomas,WR,Broncos,,,,,,0,0,0,94,1448,13,222.8
3,Dez Bryant,WR,Cowboys,,,,,,0,0,0,96,1402,13,218.2
4,A.J. Green,WR,Bengals,,,,,,0,0,0,94,1372,11,203.2
5,Julio Jones,WR,Falcons,,,,,,2,14,0,95,1387,10,200.1
6,Brandon Marshall,WR,Bears,,,,,,0,0,0,103,1339,11,199.9
7,Jordy Nelson,WR,Packers,,,,,,0,0,0,82,1283,10,188.3
8,Alshon Jeffery,WR,Bears,,,,,,12,84,0,86,1307,8,187.1
9,Antonio Brown,WR,Steelers,,,,,,7,29,0,104,1352,8,186.1
10,Roddy White,WR,Falcons,,,,,,0,0,0,94,1227,8,170.7
11,Keenan Allen,WR,Chargers,,,,,,0,0,0,83,1220,8,170
12,Randall Cobb,WR,Packers,,,,,,11,121,0,81,1098,8,169.9
13,Andre Johnson,WR,Texans,,,,,,0,0,0,99,1337,6,169.7
14,Victor Cruz,WR,Giants,,,,,,0,0,0,92,1224,7,164.4
15,Vincent Jackson,WR,Buccaneers,,,,,,0,0,0,74,1162,8,164.2
16,Michael Crabtree,WR,49ers,,,,,,0,0,0,83,1121,8,160.1
17,Pierre Garcon,WR,Redskins,,,,,,2,16,0,91,1165,7,160.1
18,Michael Floyd,WR,Cardinals,,,,,,0,0,0,75,1155,7,157.5
19,Larry Fitzgerald,WR,Cardinals,,,,,,2,12,0,85,1003,9,155.5
20,Cordarrelle Patterson,WR,Vikings,,,,,,8,64,1,69,1018,6,150.2
21,Torrey Smith,WR,Ravens,,,,,,1,8,0,69,1125,6,149.3
22,Emmanuel Sanders,WR,Broncos,,,,,,0,0,0,76,1011,8,149.1
23,Mike Wallace,WR,Dolphins,,,,,,2,24,0,76,1045,7,148.9
24,Percy Harvin,WR,Seahawks,,,,,,15,128,1,71,856,7,146.4
25,Marques Colston,WR,Saints,,,,,,0,0,0,80,1020,7,144
26,DeSean Jackson,WR,Redskins,,,,,,4,24,0,64,1046,6,143
27,Eric Decker,WR,Jets,,,,,,0,0,0,72,979,7,139.9
28,Golden Tate,WR,Lions,,,,,,4,36,0,70,973,6,136.9
29,Kendall Wright,WR,Titans,,,,,,0,0,0,86,1066,5,136.6
30,Brandin Cooks,WR,Saints,,,,,,14,161,1,66,812,5,133.3
31,Julian Edelman,WR,Patriots,,,,,,3,15,0,87,953,6,132.8
32,Jeremy Maclin,WR,Eagles,,,,,,0,0,0,66,901,7,132.1
33,T.Y. Hilton,WR,Colts,,,,,,3,15,0,68,993,5,130.8
34,Reggie Wayne,WR,Colts,,,,,,0,0,0,72,922,6,128.2
35,Justin Hunter,WR,Titans,,,,,,0,0,0,49,915,6,127.5
36,Sammy Watkins,WR,Bills,,,,,,3,24,0,62,890,6,127.4
37,Rueben Randle,WR,Giants,,,,,,0,0,0,57,852,7,127.2
38,Terrance Williams,WR,Cowboys,,,,,,0,0,0,58,908,6,126.8
39,Cecil Shorts,WR,Jaguars,,,,,,0,0,0,66,904,6,126.4
40,Kelvin Benjamin,WR,Panthers,,,,,,0,0,0,53,782,8,126.2
41,DeAndre Hopkins,WR,Texans,,,,,,0,0,0,66,983,4,122.3
42,Mike Evans,WR,Buccaneers,,,,,,0,0,0,55,798,7,121.8
43,Kenny Britt,WR,Rams,,,,,,0,0,0,58,806,6,116.6
44,Anquan Boldin,WR,49ers,,,,,,0,0,0,65,858,5,115.8
45,Dwayne Bowe,WR,Chiefs,,,,,,0,0,0,64,803,5,110.3
46,Greg Jennings,WR,Vikings,,,,,,0,0,0,64,819,4,105.9
46,Hakeem Nicks,WR,Colts,,,,,,0,0,0,52,759,5,105.9
48,John Brown,WR,Cardinals,,,,,,0,0,0,48,758,5,105.8
49,Brian Hartline,WR,Dolphins,,,,,,0,0,0,65,865,3,104.5
50,Riley Cooper,WR,Eagles,,,,,,0,0,0,46,741,5,104.1
51,Andrew Hawkins,WR,Browns,,,,,,5,23,0,67,764,4,102.7
52,Jordan Matthews,WR,Eagles,,,,,,0,0,0,54,718,5,101.8
53,Markus Wheaton,WR,Steelers,,,,,,1,8,0,52,705,5,101.3
54,Kenny Stills,WR,Saints,,,,,,2,18,0,42,693,5,101.1
55,Rod Streater,WR,Raiders,,,,,,0,0,0,54,761,4,100.1
56,Doug Baldwin,WR,Seahawks,,,,,,0,0,0,53,700,5,100
57,James Jones,WR,Raiders,,,,,,0,0,0,52,671,5,97.1
58,Tavon Austin,WR,Rams,,,,,,12,114,1,49,551,4,96.5
59,Wes Welker,WR,Broncos,,,,,,0,0,0,58,651,5,95.1
59,Harry Douglas,WR,Falcons,,,,,,0,0,0,60,771,3,95.1
61,Marqise Lee,WR,Jaguars,,,,,,5,30,0,52,673,4,94.3
62,Malcom Floyd,WR,Chargers,,,,,,0,0,0,44,695,4,93.5
63,Mike Williams,WR,Bills,,,,,,0,0,0,44,557,6,91.7
64,Brian Quick,WR,Rams,,,,,,0,0,0,44,656,4,89.6
65,Marvin Jones,WR,Bengals,,,,,,5,40,0,45,603,4,88.3
66,Jarrett Boykin,WR,Packers,,,,,,0,0,0,44,581,5,88.1
67,Jerricho Cotchery,WR,Panthers,,,,,,0,0,0,49,605,4,84.5
68,Andre Holmes,WR,Raiders,,,,,,0,0,0,37,533,5,83.3
69,Robert Woods,WR,Bills,,,,,,2,15,0,43,624,3,81.9
70,Steve Smith,WR,Ravens,,,,,,1,6,0,54,632,3,81.8
71,Miles Austin,WR,Browns,,,,,,0,0,0,45,556,4,79.6
72,Danny Amendola,WR,Patriots,,,,,,0,0,0,53,607,3,78.7
73,Aaron Dobson,WR,Patriots,,,,,,0,0,0,38,540,4,78
73,Cody Latimer,WR,Broncos,,,,,,0,0,0,38,540,4,78
75,Denarius Moore,WR,Raiders,,,,,,0,0,0,36,535,4,77.5
76,Odell Beckham,WR,Giants,,,,,,0,0,0,42,584,3,76.4
77,Nate Washington,WR,Titans,,,,,,0,0,0,40,576,3,75.6
78,Allen Robinson,WR,Jaguars,,,,,,0,0,0,36,508,4,74.8
79,Jermaine Kearse,WR,Seahawks,,,,,,0,0,0,31,437,5,73.7
80,Jeremy Kerley,WR,Jets,,,,,,4,16,0,46,557,2,69.3
81,Eddie Royal,WR,Chargers,,,,,,0,0,0,39,499,3,67.9
82,Davante Adams,WR,Packers,,,,,,0,0,0,33,429,4,66.9
83,Donnie Avery,WR,Chiefs,,,,,,0,0,0,39,546,2,66.6
84,Santonio Holmes,WR,Bears,,,,,,0,0,0,35,462,3,64.2
85,Marlon Brown,WR,Ravens,,,,,,0,0,0,34,374,4,61.4
86,Steve Johnson,WR,49ers,,,,,,0,0,0,33,409,3,58.9
87,Andre Roberts,WR,Redskins,,,,,,0,0,0,41,467,2,58.7
88,David Nelson,WR,Jets,,,,,,0,0,0,32,378,3,55.8
89,Jarvis Landry,WR,Dolphins,,,,,,0,0,0,38,437,2,55.7
90,Mohamed Sanu,WR,Bengals,,,,,,2,8,0,36,367,3,55.5
91,Jarius Wright,WR,Vikings,,,,,,0,0,0,29,399,2,51.9
92,Kenbrell Thompkins,WR,Patriots,,,,,,0,0,0,28,392,2,51.2
93,Martavis Bryant,WR,Steelers,,,,,,0,0,0,23,331,3,51.1
94,Chris Givens,WR,Rams,,,,,,3,21,0,22,361,2,50.2
95,Lance Moore,WR,Steelers,,,,,,0,0,0,33,370,2,49
96,Cole Beasley,WR,Cowboys,,,,,,0,0,0,45,428,1,48.8
96,Brandon Gibson,WR,Dolphins,,,,,,0,0,0,33,368,2,48.8
98,Jason Avant,WR,Panthers,,,,,,0,0,0,33,391,1,45.1
99,Travis Benjamin,WR,Browns,,,,,,1,10,0,19,319,2,44.9
100,Jerrel Jernigan,WR,Giants,,,,,,0,0,0,27,308,2,42.8
101,Allen Hurns,WR,Jaguars,,,,,,0,0,0,22,285,2,40.5
102,Santana Moss,WR,Redskins,,,,,,0,0,0,24,269,2,38.9
103,Brandon LaFell,WR,Patriots,,,,,,0,0,0,19,263,2,38.3
104,Andre Caldwell,WR,Broncos,,,,,,0,0,0,20,248,2,36.8
105,Jerome Simpson,WR,Vikings,,,,,,0,0,0,19,234,2,35.4
106,Robert Herron,WR,Buccaneers,,,,,,0,0,0,22,282,1,34.2
107,DeVier Posey,WR,Texans,,,,,,0,0,0,18,216,2,33.6
108,Jaron Brown,WR,Cardinals,,,,,,0,0,0,21,269,1,32.9
109,Corey Washington,WR,Giants,,,,,,0,0,0,15,203,2,32.3
110,Louis Murphy,WR,Buccaneers,,,,,,0,0,0,20,250,1,31
111,Stedman Bailey,WR,Rams,,,,,,2,16,0,18,232,1,30.8
112,Jacoby Jones,WR,Ravens,,,,,,1,5,0,18,241,1,30.6
113,Jeff Janis,WR,Packers,,,,,,0,0,0,12,168,2,28.8
114,Ted Ginn Jr.,WR,Cardinals,,,,,,5,35,0,14,189,1,28.4
115,Drew Davis,WR,Falcons,,,,,,0,0,0,17,221,1,28.1
116,Frankie Hammond,WR,Chiefs,,,,,,0,0,0,18,216,1,27.6
116,Greg Salas,WR,Jets,,,,,,0,0,0,18,216,1,27.6
118,Paul Richardson,WR,Seahawks,,,,,,0,0,0,13,215,1,27.5
119,A.J. Jenkins,WR,Chiefs,,,,,,0,0,0,16,210,1,27
120,Marquise Goodwin,WR,Bills,,,,,,3,15,0,12,190,1,26.5
121,Donte Moncrief,WR,Colts,,,,,,0,0,0,14,195,1,25.5
122,Kevin Ogletree,WR,Lions,,,,,,0,0,0,15,192,1,25.2
123,Taylor Gabriel,WR,Browns,,,,,,3,18,0,16,173,1,25.1
124,Ace Sanders,WR,Jaguars,,,,,,3,12,0,21,226,0,23.8
125,Quinton Patton,WR,49ers,,,,,,0,0,0,15,173,1,23.3
126,Rishard Matthews,WR,Dolphins,,,,,,0,0,0,15,164,1,22.4
127,Josh Morgan,WR,Bears,,,,,,0,0,0,15,162,1,22.2
128,Marquess Wilson,WR,Bears,,,,,,0,0,0,12,158,1,21.8
129,Nick Toon,WR,Saints,,,,,,0,0,0,12,156,1,21.6
130,Ryan Broyles,WR,Lions,,,,,,0,0,0,14,151,1,21.1
131,Keshawn Martin,WR,Texans,,,,,,0,0,0,14,146,1,20.6
132,Devin Street,WR,Cowboys,,,,,,0,0,0,11,143,1,20.3
133,Darrius Heyward-Bey,WR,Steelers,,,,,,0,0,0,10,132,1,19.2
134,Austin Pettis,WR,Rams,,,,,,0,0,0,12,122,1,18.2
135,Dwayne Harris,WR,Cowboys,,,,,,0,0,0,10,112,1,17.2
135,Brandon Lloyd,WR,49ers,,,,,,0,0,0,8,112,1,17.2
137,Junior Hemingway,WR,Chiefs,,,,,,0,0,0,15,147,0,14.7
138,Griff Whalen,WR,Colts,,,,,,0,0,0,13,139,0,13.9
139,Brenton Bersin,WR,Panthers,,,,,,0,0,0,11,132,0,13.2
140,Joe Morgan,WR,Saints,,,,,,0,0,0,10,120,0,12
141,Josh Huff,WR,Eagles,,,,,,2,16,0,7,98,0,11.4
142,Chris Hogan,WR,Bills,,,,,,0,0,0,12,102,0,10.2
143,Leonard Hankerson,WR,Redskins,,,,,,0,0,0,8,99,0,9.9
144,Brice Butler,WR,Raiders,,,,,,0,0,0,8,92,0,9.2
145,Mike Brown,WR,Jaguars,,,,,,0,0,0,8,84,0,8.4
145,Chris Owusu,WR,Buccaneers,,,,,,0,0,0,6,84,0,8.4
145,Bruce Ellington,WR,49ers,,,,,,3,24,0,5,60,0,8.4
148,Kris Durham,WR,Titans,,,,,,0,0,0,6,73,0,7.3
148,Kevin Norwood,WR,Seahawks,,,,,,0,0,0,5,73,0,7.3
150,Da'Rick Rogers,WR,Colts,,,,,,0,0,0,4,54,0,5.4
151,T.J. Graham,WR,Titans,,,,,,0,0,0,4,50,0,5
152,Dane Sanzenbacher,WR,Bengals,,,,,,0,0,0,3,32,0,3.2
1,Jimmy Graham,TE,Saints,,,,,,,,,87,1148,12,186.8
2,Rob Gronkowski,TE,Patriots,,,,,,,,,71,1044,10,164.4
3,Julius Thomas,TE,Broncos,,,,,,,,,69,845,11,150.5
4,Jordan Cameron,TE,Browns,,,,,,,,,73,894,8,137.4
5,Jordan Reed,TE,Redskins,,,,,,,,,75,896,7,131.6
6,Zach Ertz,TE,Eagles,,,,,,,,,61,811,7,123.1
