"name","name_fbg1","pos","team_fbg1","overallRank_fbg1","passAtt_fbg1","passComp_fbg1","passYds_fbg1","passTds_fbg1","passInt_fbg1","rushAtt_fbg1","rushYds_fbg1","rushTds_fbg1","rec_fbg1","recYds_fbg1","recTds_fbg1","twoPts_fbg1","fumbles_fbg1","pts_fbg1"
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",184,NA,NA,NA,NA,NA,0,0,0,38,502,3,NA,NA,68.2
"KNILEDAVIS","Knile Davis","RB","KC",185,NA,NA,NA,NA,NA,90,383,2,16,114,1,NA,NA,67.7
"NATEWASHINGTON","Nate Washington","WR","TEN",186,NA,NA,NA,NA,NA,0,0,0,37,488,3,NA,NA,66.8
"STEVEJOHNSON","Steve Johnson","WR","SF",187,NA,NA,NA,NA,NA,1,5,0,38,479,3,NA,NA,66.4
"JOHNBROWN","John Brown","WR","ARI",188,NA,NA,NA,NA,NA,1,4,0,36,472,3,NA,NA,65.6
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",189,NA,NA,NA,NA,NA,25,113,1,35,361,2,NA,NA,65.4
"DONALDBROWN","Donald Brown","RB","SD",190,NA,NA,NA,NA,NA,95,404,3,9,68,0,NA,NA,65.2
"AARONDOBSON","Aaron Dobson","WR","NE",190,NA,NA,NA,NA,NA,0,0,0,36,472,3,NA,NA,65.2
"CJANDERSON","C.J. Anderson","RB","DEN",192,NA,NA,NA,NA,NA,90,401,3,10,70,0,NA,NA,65.1
"DAVIDNELSON","David Nelson","WR","NYJ",193,NA,NA,NA,NA,NA,0,0,0,33,462,3,NA,NA,64.2
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",194,NA,NA,NA,NA,NA,NA,NA,NA,40,460,3,NA,NA,64
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",195,NA,NA,NA,NA,NA,4,16,0,38,437,3,NA,NA,63.3
"CHARLESSIMS","Charles Sims","RB","TB",196,NA,NA,NA,NA,NA,80,324,2,18,126,1,NA,NA,63
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",197,NA,NA,NA,NA,NA,90,338,3,14,111,0,NA,NA,62.9
"TREMASON","Tre Mason","RB","STL",198,NA,NA,NA,NA,NA,90,369,3,11,74,0,NA,NA,62.3
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",199,NA,NA,NA,NA,NA,100,370,3,10,71,0,NA,NA,62.1
"ANDREROBERTS","Andre Roberts","WR","WAS",200,NA,NA,NA,NA,NA,0,0,0,40,440,3,NA,NA,62
"ZACHMILLER","Zach Miller","TE","SEA",201,NA,NA,NA,NA,NA,NA,NA,NA,32,374,4,NA,NA,61.4
