"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",36,211.035030172942,258.505,204.825,187.9,241.375,207.05,207.9225,228.5,212.15,209.625,218.5,211.6,220.125,178.425,237.75,NA,208.85,0,0,0,0,0,0,274.24779908852,1181.5,10.3500269241387,27.9999625060976,227.078044378545,1.49999529954108,0,0,2.19995290548507,211.823947916667,211.035030172942
"MONTEEBALL","Montee Ball","RB","DEN",37,210.710370611736,157.425,241.1,199.75,195.925,216.1,212.135,231.375,218.475,222,237.5,209.525,210.625,222.875,217,NA,198.5,0,0,0,0,0,0,249.456287755808,1137.82341311855,9.54531819627857,42.0000363254965,305.25,1.49997835370159,0,0,2.5,209.757083333333,210.710370611736
"SAMBRADFORD","Sam Bradford","QB","STL",38,208.654603937405,224.39,233.22,243.86,169.94,NA,212.708,228.2,195.5,203.9,221.4,204.86,197.5,235.4,225.7,NA,199.46,519.000052938135,312.9,209.5,3609,24.3335723341873,12.9999285545367,30.5000437931389,84.0982661960653,1.00002467609217,0,0,0,0,0.5,3.14995813729786,211.35975952381,208.654603937405
"CARSONPALMER","Carson Palmer","QB","ARI",39,207.955098512067,181.3,234.84,226.68,210.94,NA,218.184,201.62,208.7,198.44,207.4,210.54,204.5,229.46,244.3,NA,189.1,566.500026497965,354.606578947368,213.5,4193.75,25.5000311536569,19.0000427609109,20.0000094168979,16.4999265001641,0.750832243234744,0,0,0,0,0,3.64996130975085,207.877195238095,207.955098512067
"LEVEONBELL","Le'Veon Bell","RB","PIT",40,205.618810016033,214.485,213.45,194.475,206.05,209.9,213.975,193.425,216.5,190.5,195.625,202.95,202.75,213.075,223.15,NA,189.4,0,0,0,0,0,0,267.626293936716,1070.5,7.72498917851957,47.499915757018,381.75,1.49998957892121,0,0,1.49993750953734,203.189125,205.618810016033
"JOEFLACCO","Joe Flacco","QB","BAL",41,204.640859013797,168.87,223.22,209.16,202.3,NA,209.666,200.1,210.96,211.02,220,207.36,217.6,236.14,222.3,NA,206.42,574.3,340.675,230.000078292285,3907.75,23.0000206598641,15.974539908197,30.9999530742793,82.438917407658,1.00004722155919,0,0,0,0,0.6,3.72992632372991,207.585876190476,204.640859013797
"ARIANFOSTER","Arian Foster","RB","HOU",42,204.012290126814,192.19,206.6,185.325,195.775,NA,204.9375,181.5,206.525,217.575,209,207.075,208.75,213.3,222.425,NA,201.65,0,0,0,0,0,0,252.65,1094.0000068795,7.5,45.9330151663988,342.500063514343,1.79999577899222,0,1,2.00006439146091,201.39130952381,204.012290126814
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",43,201.576378371594,168.57,243.4,196.55,194.45,208.55,210.84,173.975,214.825,209.85,221.5,212.25,229,207.475,224.65,NA,185.45,0,0,0,0,0,0,219.000062640628,939.99997961834,6,58.1999652725687,502.05,2.67001912598767,0,0,2.39999478205548,203.8983125,201.576378371594
"ELIMANNING","Eli Manning","QB","NYG",44,200.147454123895,141.56,213.34,213.38,211.18,NA,208.2,174.3,201.74,203.4,204.8,208.5,191.5,241.08,218.86,NA,184.21,558.5,332.499807397651,222.500045886674,3981.75,24.0000384567267,18,20.5000465289251,30.6361905343588,0.679770696175379,0,0,0,0,0,2.7549809778333,198.706773809524,200.147454123895
"RANDALLCOBB","Randall Cobb","WR","GB",45,198.480217352634,266.555,199,184.125,214.425,204.875,200.6375,192.025,191.725,205.375,191.25,199.65,199,164.75,205.3,NA,188.71,0,0,0,0,0,0,8.5,83.7440823642311,0,84.4999615047151,1151.25,7.99997360562929,0.2,0,1.00009417252163,203.38953125,198.480217352634
