"name","nameMerge","year","pos","team","pick","overallRank","positionRank"
"PLAXICO BURRESS","PLAXICOBURRESS",2009,"WR","FA*",185.54,288,95
"JOHNNIE LEE HIGGINS","JOHNNIELEEHIGGINS",2009,"WR","OAK",185.99,289,96
"SAGE ROSENFELS","SAGEROSENFELS",2009,"QB","MIN",188.59,290,37
"OAKLAND RAIDERS","OAKLANDRAIDERS",2009,"Def","OAK",188.75,291,27
"DEVIN THOMAS","DEVINTHOMAS",2009,"WR","WAS",189.07,292,97
"DAUNTE CULPEPPER","DAUNTECULPEPPER",2009,"QB","DET",190.32,293,38
"BOBBY ENGRAM","BOBBYENGRAM",2009,"WR","FA*",191.93,294,98
"LIMAS SWEED","LIMASSWEED",2009,"WR","PIT",192.38,295,99
"CHANSI STUCKEY","CHANSISTUCKEY",2009,"WR","CLE",192.77,296,100
"ANTWAAN RANDLE EL","ANTWAANRANDLEEL",2009,"WR","WAS",194.36,297,101
"RIAN LINDELL","RIANLINDELL",2009,"K","BUF",195.02,298,23
"SEBASTIAN JANIKOWSKI","SEBASTIANJANIKOWSKI",2009,"K","OAK",196.08,299,24
"RANDY MCMICHAEL","RANDYMCMICHAEL",2009,"TE","STL",197.04,300,32
"DANNY WARE","DANNYWARE",2009,"RB","NYG",198.32,301,79
"MEWELDE MOORE","MEWELDEMOORE",2009,"RB","PIT",198.43,302,80
"JUSTIN FORSETT","JUSTINFORSETT",2009,"RB","SEA",198.85,303,81
"MATT PRATER","MATTPRATER",2009,"K","DEN",198.95,304,25
"GREG JONES","GREGJONES",2009,"RB","JAC",199.48,305,82
"JOE NEDNEY","JOENEDNEY",2009,"K","SFO",201.85,306,26
"DESMOND CLARK","DESMONDCLARK",2009,"TE","CHI",202.34,307,33
"DOMINIC RHODES","DOMINICRHODES",2009,"RB","FA*",203.47,308,83
"JASON HANSON","JASONHANSON",2009,"K","DET",203.63,309,27
"BRYANT JOHNSON","BRYANTJOHNSON",2009,"WR","DET",207.96,310,102
"MATT BRYANT","MATTBRYANT",2009,"K","ATL",208.25,311,28
"DEREK ANDERSON","DEREKANDERSON",2009,"QB","CLE",209.11,312,39
"JOSH SCOBEE","JOSHSCOBEE",2009,"K","JAC",209.68,313,29
"MARCEDES LEWIS","MARCEDESLEWIS",2009,"TE","JAC",209.92,314,34
"MICHAEL CLAYTON","MICHAELCLAYTON",2009,"WR","TBB",210.19,315,103
"PHIL DAWSON","PHILDAWSON",2009,"K","CLE",213.47,316,30
"MAURICE MORRIS","MAURICEMORRIS",2009,"RB","DET",215.45,317,84
"MALCOLM KELLY","MALCOLMKELLY",2009,"WR","WAS",216.62,318,104
"DAN CARPENTER","DANCARPENTER",2009,"K","MIA",218.76,319,31
