"playerId","idpRetYds","idpRetTds","idpSolo","idpAst","idpTFL","idpSack","idpSafety","idpPD","idpBlk","idpInt","idpFumlForce","idpFumlRec","idpFumlRet","idpTd","player","analystId"
2495678,0,0,43,16,0,0,0,7,0,2,0,0,26,0,"Brandon Meriweather","yasp"
2495717,0,0,30,9,0,0,0,9,0,5,0,4,66,0,"Darrelle Revis","yasp"
2495809,0,0,38,11,0,1,0,6,0,2,3,2,7,0,"Will Blackmon","yasp"
2505625,0,0,36,19,0,0,0,7,0,2,2,1,0,0,"Charles Tillman","yasp"
2507783,0,0,40,5,2,0,0,12,0,2,0,0,5,0,"Sean Smith","yasp"
2530658,0,0,42,15,2,1,0,6,0,0,1,0,0,0,"Isa Abdul-Quddus","yasp"
2532965,0,0,43,9,1,0,0,6,0,0,1,2,5,1,"Trevin Wade","yasp"
2533062,0,0,36,0,0,0,0,18,0,3,0,0,33,0,"Stephon Gilmore","yasp"
2535609,0,0,43,12,3,1,0,8,0,1,2,0,40,0,"Deshawn Shead","yasp"
2539334,0,0,35,7,1,1,0,11,0,1,0,2,21,1,"Desmond Trufant","yasp"
2543505,0,0,34,6,1,0,0,10,0,1,1,1,40,1,"Bradley Roby","yasp"
2543681,0,0,47,8,0,0,0,9,0,2,0,0,24,0,"Kyle Fuller","yasp"
2543799,0,0,34,10,0,0,0,11,0,2,1,1,62,0,"Ross Cockrell","yasp"
2543855,0,0,44,15,4,1,0,9,0,0,1,1,0,0,"Bene Benwikere","yasp"
2552261,0,0,48,6,3,0,0,9,0,1,0,0,22,0,"Kevin Johnson","yasp"
2552385,0,0,57,10,2,1,0,2,0,0,0,0,0,0,"Adrian Amos","yasp"
2552568,0,0,47,19,2,0,0,8,0,0,0,0,0,0,"Byron Jones","yasp"
4471,0,0,30,16,1,1,0,4,0,0,1,1,8,1,"Cary Williams","yasp"
71405,0,0,38,13,0,0,0,4,0,2,1,0,14,0,"William Moore","yasp"
79897,0,0,38,12,1,0,0,4,0,1,2,0,0,0,"Darius Butler","yasp"
79899,1,0,36,16,2,1,0,3,0,1,1,1,25,0,"Jairus Byrd","yasp"
237680,0,0,44,7,0,0,0,10,0,0,1,0,0,0,"Greg Toler","yasp"
494277,0,0,38,23,5,0,0,5,0,0,1,0,0,0,"Kendrick Lewis","yasp"
2495339,0,0,42,13,0,0.5,0,4,0,1,0,0,5,0,"DaNorris Searcy","yasp"
2495343,0,0,46,10,2,0,0,6,0,1,0,0,9,0,"Buster Skrine","yasp"
2495504,306,0,35,0,1,0,0,7,0,2,1,0,41,0,"Patrick Peterson","yasp"
2506108,0,0,39,9,1,0,0,2,0,0,1,1,17,1,"Deangelo Hall","yasp"
2507471,0,0,34,1,0,0,0,12,0,1,1,0,2,0,"Tracy Porter","yasp"
2508084,0,0,43,6,2,0,0,8,0,1,1,0,27,0,"Patrick Robinson","yasp"
2531177,0,0,37,8,3,0,0,6,0,1,3,0,18,0,"Sterling Moore","yasp"
2532848,0,0,42,18,2,0,0,2,0,2,0,0,0,0,"Tashaun Gipson","yasp"
2539290,0,0,28,15,1,1,0,4,0,2,0,1,28,0,"Jordan Poyer","yasp"
2539309,0,0,39,24,5,1,0,1,0,0,1,1,0,0,"T.J. McDonald","yasp"
2540197,0,0,39,7,0,1,0,5,0,0,0,0,0,0,"Nickell Robey","yasp"
2540219,0,0,38,16,1,0,1,3,0,1,1,0,24,0,"J.J. Wilcox","yasp"
2540283,0,0,37,16,2,0,0,2,0,0,1,1,0,0,"Josh Evans","yasp"
2543872,0,0,42,5,0,0,0,7,0,0,0,0,0,0,"Nevin Lawson","yasp"
2552263,0,0,28,3,2,1,0,6,0,2,0,0,48,1,"Quinten Rollins","yasp"
2552593,0,0,38,20,0,0,0,4,0,0,1,0,0,0,"Kyshoen Jarrett","yasp"
1298,21,0,25,7,1,0,0,9,0,2,0,0,0,0,"Leodis McKelvin","yasp"
238466,0,0,31,8,0,0,0,10,0,1,0,0,0,0,"Brice McCain","yasp"
238489,0,0,36,8,0,0,0,7,0,0,0,0,0,0,"E.J. Biggers","yasp"
494265,17,0,26,4,0,0,0,7,0,1,0,0,27,0,"Perrish Cox","yasp"
1037889,0,0,32,6,3,0,0,4,0,1,1,0,2,0,"Phillip Adams","yasp"
2495251,0,0,34,6,1,0,0,5,0,0,0,0,0,0,"Shareece Wright","yasp"
2495669,0,0,23,3,1,0,0,4,0,3,1,0,84,1,"Trumaine McBride","yasp"
2495807,0,0,32,12,2,1,0,2,0,0,0,0,0,0,"Antoine Bethea","yasp"
2495822,377,0,26,3,2,0,0,12,0,0,0,1,0,0,"Antonio Cromartie","yasp"
2499276,0,0,31,13,1,1,0,2,0,1,0,1,0,0,"Jimmy Wilson","yasp"
2505583,0,0,28,2,3,0,0,4,0,1,1,0,0,0,"Rashean Mathis","yasp"
2507834,0,0,31,6,2,1.5,0,2,0,0,0,0,0,0,"Sergio Brown","yasp"
2532869,0,0,35,12,2,0,0,4,0,1,0,0,0,0,"George Iloka","yasp"
2532928,0,0,24,12,0,0.5,0,6,0,2,0,1,-1,0,"Eddie Pleasant","yasp"
2532939,0,0,33,18,1,0,0,1,0,1,0,0,8,0,"Trent Robinson","yasp"
2533059,0,0,30,7,0,0,0,7,0,0,0,0,0,0,"Morris Claiborne","yasp"
2534822,0,0,30,10,1,0,0,4,0,1,0,0,27,0,"Robert Golden","yasp"
2534846,0,0,37,3,1,0,0,6,0,1,0,0,-12,0,"Neiko Thorpe","yasp"
2539233,0,0,25,7,2,0,0,5,0,2,0,0,14,0,"Shawn Williams","yasp"
2539932,0,0,35,13,0,0,0,4,0,0,0,1,31,0,"Jamar Taylor","yasp"
2541431,0,0,32,14,1,0,0,3,0,1,0,0,84,0,"Kemal Ishmael","yasp"
2543811,0,0,30,7,0,0,0,5,0,0,0,0,0,0,"Pierre Desir","yasp"
2550145,0,0,29,9,4,2,0,1,0,0,0,1,3,0,"Maurice Alexander","yasp"
2552262,0,0,31,7,2,0,0,6,0,0,1,1,0,0,"Quandre Diggs","yasp"
2554332,0,0,34,7,2,0,0,1,0,0,0,0,0,0,"Jude Adjei-Barimah","yasp"
754,0,0,29,4,1,1,0,4,0,0,0,0,0,0,"Brandon Flowers","yasp"
79527,0,0,26,2,1,0,0,4,0,1,0,1,24,0,"Kyle Wilson","yasp"
494251,0,0,23,7,1,0,0,3,0,0,0,0,0,0,"Larry Asante","yasp"
2495783,0,0,27,5,3,0.5,0,1,0,0,0,1,0,0,"Josh Wilson","yasp"
2499249,0,0,25,6,0,1,0,0,0,0,1,1,0,0,"Chris Prosinski","yasp"
2506347,0,0,30,5,0,0,0,1,0,0,0,0,0,0,"Antrel Rolle","yasp"
2507430,0,0,22,6,0,0,0,3,0,0,1,0,0,0,"Kyle Arrington","yasp"
2532794,27,0,28,6,0,0,0,3,0,0,0,0,0,0,"Robert Blanton","yasp"
2532798,0,0,20,5,2,1,0,5,0,1,1,1,1,0,"Brandon Boykin","yasp"
2533061,0,0,23,10,0,0,0,6,0,1,0,0,17,0,"Jayron Hosley","yasp"
2533340,0,0,25,12,0,0,0,2,0,0,0,0,0,0,"Kelcie McCray","yasp"
2534741,0,0,28,14,4,1,0,1,0,0,0,0,0,0,"Keith Tandy","yasp"
2539266,0,0,20,5,1,1,0,5,0,0,0,1,0,0,"Daimion Stafford","yasp"
2539269,0,0,25,3,3,1,0,1,0,0,0,1,19,1,"Duke Williams","yasp"
2540207,0,0,17,2,0,1,0,5,0,2,2,1,6,0,"Steve Williams","yasp"
2541243,0,0,14,6,0,0,0,5,0,3,0,0,50,0,"Duron Harmon","yasp"
