"playerId","idpRetYds","idpRetTds","idpSolo","idpAst","idpTFL","idpSack","idpSafety","idpPD","idpBlk","idpInt","idpFumlForce","idpFumlRec","idpFumlRet","idpTd","player","analystId"
2543650,0,0,30,8,13,6.5,0,3,0,0,0,0,0,0,"Aaron Lynch","yasp"
2543869,0,0,37,21,2,0,0,4,0,1,0,0,0,0,"Devon Kennard","yasp"
2552490,0,0,37,26,7,1,0,0,0,0,0,0,0,0,"Benardrick McKinney","yasp"
776,0,0,35,12,5,1,0,1,0,0,0,0,0,0,"Jerod Mayo","yasp"
1363,0,0,35,9,1,0,0,1,0,0,0,0,0,0,"Erin Henderson","yasp"
2664,0,0,32,22,2,2.5,0,0,0,0,1,0,0,0,"Kroy Biermann","yasp"
79844,0,0,34,5,0,0,0,1,0,0,1,1,0,0,"Dannell Ellerbe","yasp"
496825,0,0,24,11,4,4,0,2,0,0,0,2,3,0,"Arthur Moats","yasp"
496949,0,0,24,20,1,0,0,3,0,2,0,0,7,0,"Perry Riley","yasp"
2495136,0,0,30,17,3,2,0,2,0,0,0,0,0,0,"Bruce Carter","yasp"
2505566,0,0,15,5,7,7,0,0,0,0,1,1,0,1,"Robert Mathis","yasp"
2507488,0,0,28,14,9,3,0,0,0,0,1,0,0,0,"Erik Walden","yasp"
2507644,0,0,29,18,2,1,0,1,0,0,0,0,0,0,"Ramon Humber","yasp"
2507673,0,0,32,8,3,1.5,0,1,0,0,1,0,0,0,"Dan Skuta","yasp"
2508063,0,0,24,6,11,6.5,0,2,0,1,0,0,39,0,"Willie Young","yasp"
2530765,0,0,27,23,1,1,0,1,0,0,1,2,12,0,"Jonathan Freeny","yasp"
2532871,0,0,22,16,8,5.5,0,2,0,0,1,1,1,0,"Bruce Irvin","yasp"
2536032,0,0,27,13,0,0.5,0,3,0,0,1,1,0,0,"Emmanuel Lamur","yasp"
2540221,0,0,34,12,1,0.5,0,1,0,0,0,2,0,0,"Vince Williams","yasp"
2540277,0,0,23,14,4,1.5,0,4,0,1,0,2,8,0,"David Bass","yasp"
2543456,0,0,27,13,8,4.5,0,6,0,0,0,0,0,0,"Jadeveon Clowney","yasp"
2552299,0,0,24,12,4,3,0,4,0,1,1,0,46,0,"Nate Orchard","yasp"
2552301,0,0,20,6,2,4,0,3,0,1,2,0,0,0,"Vic Beasley","yasp"
2552306,0,0,31,7,5,2.5,0,1,0,0,1,0,0,0,"Ben Heeney","yasp"
2552314,0,0,35,15,3,0,0,0,0,0,0,1,0,0,"Jake Ryan","yasp"
2553488,0,0,31,6,1,0,0,3,0,1,1,0,0,0,"Jonathan Anderson","yasp"
496828,0,0,17,7,5,4.5,0,2,0,0,1,0,0,0,"Derrick Morgan","yasp"
496833,0,0,24,12,10,4,0,0,0,0,1,0,0,0,"Mike Neal","yasp"
496851,0,0,24,5,4,2,0,0,0,0,1,0,0,0,"OBrien Schofield","yasp"
496903,0,0,24,19,2,0.5,0,0,0,0,1,1,1,0,"Donald Butler","yasp"
2495101,0,0,30,9,1,0,0,1,0,0,1,1,0,0,"Sam Acho","yasp"
2495281,0,0,25,12,1,0,0,0,0,0,1,1,0,0,"Mason Foster","yasp"
2495487,0,0,21,7,5,3.5,0,3,0,0,0,0,0,0,"Aldon Smith","yasp"
2505940,0,0,19,13,4,2,0,3,0,1,0,0,2,0,"Jared Allen","yasp"
2506349,0,0,17,8,8,7.5,0,0,0,0,1,1,0,0,"Demarcus Ware","yasp"
2506482,0,0,20,12,6,3,0,3,0,0,2,0,0,0,"Trent Cole","yasp"
2508132,0,0,31,16,1,0.5,0,0,0,0,0,0,0,0,"J.T. Thomas","yasp"
2532952,0,0,29,8,4,1,0,0,0,0,0,0,0,0,"Sean Spence","yasp"
2533048,0,0,16,15,7,3.5,0,1,0,0,1,0,0,0,"Nick Perry","yasp"
2539294,0,0,26,11,2,0,0,0,1,0,0,0,0,1,"Michael Mauti","yasp"
2539319,0,0,25,6,4,2,0,1,0,0,0,1,0,0,"Alex Okafor","yasp"
2539935,0,0,30,13,2,0,0,1,0,1,0,0,0,0,"Kiko Alonso","yasp"
2540137,0,0,15,14,1,2,0,2,0,1,1,2,5,0,"Jarvis Jones","yasp"
2540143,0,0,27,15,4,2,0,0,0,0,0,0,0,0,"Alec Ogletree","yasp"
2543494,0,0,21,2,6,4,0,2,0,0,0,0,0,0,"Dee Ford","yasp"
2543503,0,0,13,20,3,3.5,0,0,0,0,1,2,0,0,"Trent Murphy","yasp"
2552273,0,0,21,10,4,4,0,0,0,0,2,0,0,0,"Markus Golden","yasp"
2552279,15,0,20,11,7,5.5,0,1,0,0,0,0,0,0,"ZaDarius Smith","yasp"
2553657,0,0,28,12,3,0,0,3,0,1,0,0,0,0,"Neville Hewitt","yasp"
330,0,0,21,8,1,1,0,0,0,0,1,0,0,0,"Philip Wheeler","yasp"
80656,0,0,16,11,5,2.5,0,0,0,0,0,0,0,0,"Paul Kruger","yasp"
496915,0,0,19,3,2,0,0,1,0,0,0,0,0,0,"Kavell Conner","yasp"
2495164,6,0,17,13,2,0,0,0,0,0,1,0,0,0,"Mark Herzlich","yasp"
2495853,0,0,16,8,2,1,0,0,0,0,0,0,0,0,"A.J. Hawk","yasp"
2505016,0,0,8,1,5,8,0,0,0,0,3,0,0,0,"Dwight Freeney","yasp"
2505622,0,0,15,7,4,3,0,1,0,0,2,1,0,0,"Calvin Pace","yasp"
2507399,0,0,20,13,0,0,0,0,0,0,2,0,0,0,"David Hawthorne","yasp"
2507948,0,0,16,3,2,3,0,0,0,0,1,0,0,0,"Frank Zombo","yasp"
2532892,0,0,18,3,2,1,0,0,0,0,0,0,0,0,"Travis Lewis","yasp"
2532974,0,0,16,9,1,0,0,0,0,0,0,0,0,1,"Kyle Wilber","yasp"
2540140,0,0,15,9,1,0,0,4,0,1,0,0,7,0,"Barkevious Mingo","yasp"
2541792,0,0,21,3,2,1,0,0,0,0,0,1,0,0,"Ray-Ray Armstrong","yasp"
2543555,0,0,10,9,2,1,0,2,0,0,1,0,0,0,"Jonathan ome","yasp"
2550262,0,0,23,3,3,1,0,1,0,0,1,0,0,0,"Joe Thomas","yasp"
2550547,0,0,16,14,1,0,0,0,0,0,0,0,0,0,"Max Bullough","yasp"
2552289,0,0,17,9,4,4,0,1,0,0,0,0,0,0,"Bud Dupree","yasp"
2552296,1,0,16,9,3,1,0,1,0,1,0,0,0,0,"Kyle Emanuel","yasp"
2552297,0,0,13,4,3,4,0,0,0,0,1,1,0,0,"Lorenzo Mauldin","yasp"
2552313,0,0,17,7,1,0,0,0,1,0,0,0,0,0,"Hayes Pullard","yasp"
2552451,0,0,15,5,5,4,0,1,0,0,0,0,0,0,"Shane Ray","yasp"
2553610,0,0,21,3,1,0,0,0,0,0,0,2,0,0,"John Timu","yasp"
496814,0,0,13,4,1,1,0,1,0,0,0,1,0,0,"Albert McClellan","yasp"
2495175,0,0,12,2,2,1,0,2,0,0,1,0,0,0,"Nate Irving","yasp"
2495218,0,0,10,7,2,0,0,0,0,0,0,0,0,0,"Brooks Reed","yasp"
2495262,0,0,12,5,0,0,0,0,0,0,0,0,0,0,"Nick Bellore","yasp"
2495276,0,0,15,3,1,0,0,0,0,0,0,0,0,0,"Akeem Dent","yasp"
2495545,0,0,11,7,0,0,0,0,0,0,0,0,0,0,"Jon Beason","yasp"
2495797,0,0,11,5,0,0,0,0,0,0,0,0,0,0,"James Anderson","yasp"
2530855,0,0,14,10,0,0,0,0,0,0,0,0,0,0,"Spencer Paysinger","yasp"
2533016,0,0,9,2,0,0,0,0,0,0,0,0,0,1,"Najee Goode","yasp"
2533029,0,0,15,1,0,0,0,0,0,0,0,0,0,0,"Tank Carder","yasp"
2541695,0,0,11,3,0,0.5,0,0,0,0,0,0,0,0,"Brandon Copeland","yasp"
2541741,0,0,17,1,2,0,0,0,0,0,0,0,0,0,"LaRoy Reynolds","yasp"
2541901,0,0,11,7,1,0,0,0,0,0,0,0,0,0,"Justin Tuggle","yasp"
2543563,0,0,8,10,0,0,0,1,0,0,0,0,0,0,"Kevin Pierre-Louis","yasp"
2543676,0,0,12,5,0,1,0,0,0,0,2,0,0,0,"Trevor Reilly","yasp"
2550167,0,0,14,3,1,1,0,0,0,0,0,0,0,0,"Corey Nelson","yasp"
2550930,0,0,15,6,2,0,0,0,0,0,0,1,0,0,"Todd Davis","yasp"
2552494,0,0,8,6,4,0,0,0,0,0,0,1,8,0,"Eli Harold","yasp"
2552730,0,0,11,6,0,0,0,0,0,0,0,0,0,0,"Brian Peters","yasp"
2553442,0,0,12,1,0,0,1,0,1,0,0,0,0,0,"D.J. Alexander","yasp"
2553605,0,0,5,3,0,1,0,2,0,2,1,0,40,0,"A.J. Tarpley","yasp"
2553633,0,0,15,8,1,0,0,1,0,0,0,0,0,0,"Thurston Armbrister","yasp"
2553877,0,0,13,2,0,0,0,0,0,0,0,0,0,0,"Nick Dzubnar","yasp"
2499275,0,0,10,4,1,0,0,0,0,0,0,0,0,0,"Andrew Gachkar","yasp"
2506268,7,0,11,2,1,0,0,0,0,0,0,0,0,0,"Lorenzo Alexander","yasp"
