"playerId","aav","leagueType","source"
252,"1","std","MFL"
252,"0.0","std","ESPN"
252,"0","std","Yahoo"
2533538,"5","std","MFL"
2533538,"3.1","std","ESPN"
2553787,"0","std","Yahoo"
2550268,"0","std","MFL"
2550268,"0.0","std","ESPN"
2550268,"0","std","Yahoo"
100028,"1","std","MFL"
100028,"0.0","std","ESPN"
100028,"0","std","Yahoo"
2495139,"2","std","MFL"
2495139,"0.0","std","ESPN"
2495139,"1","std","Yahoo"
2552691,"1","std","MFL"
2552691,"0.0","std","ESPN"
1292,"1","std","MFL"
2507187,"2","std","MFL"
2507187,"0.0","std","ESPN"
2541147,"7","std","MFL"
2541147,"4.1","std","ESPN"
2541147,"7","std","Yahoo"
2543770,"3","std","MFL"
2543770,"1.2","std","ESPN"
2543770,"1","std","Yahoo"
2505625,"1","std","MFL"
2505625,"0.0","std","ESPN"
2503797,"2","std","MFL"
2503797,"0.0","std","ESPN"
2495974,"1","std","MFL"
2495974,"0.0","std","ESPN"
2495974,"0","std","Yahoo"
71255,"0","std","MFL"
71255,"0.0","std","ESPN"
71255,"0","std","Yahoo"
81284,"0","std","MFL"
81284,"0.0","std","ESPN"
81284,"0","std","Yahoo"
2550467,"0","std","Yahoo"
2534244,"0","std","MFL"
2534244,"0.0","std","ESPN"
2534244,"0","std","Yahoo"
2531218,"0","std","MFL"
100016,"2","std","MFL"
100016,"0.0","std","ESPN"
100016,"0","std","Yahoo"
2495138,"0","std","MFL"
2507557,"1","std","MFL"
2507557,"0.0","std","ESPN"
2541192,"0","std","MFL"
2543772,"1","std","MFL"
2543772,"0.0","std","ESPN"
2506469,"0","std","MFL"
2506469,"0.0","std","ESPN"
2507791,"0","std","MFL"
2505312,"1","std","MFL"
2505312,"0.0","std","ESPN"
2552652,"2","std","MFL"
2552652,"0.0","std","ESPN"
2552652,"0","std","Yahoo"
2495272,"1","std","MFL"
494263,"0","std","MFL"
2495142,"1","std","MFL"
2495142,"0.0","std","ESPN"
2550456,"0","std","MFL"
2535634,"0","std","MFL"
2535634,"0.0","std","ESPN"
2535634,"0","std","Yahoo"
2539202,"0","std","MFL"
2539202,"0.0","std","ESPN"
2539202,"0","std","Yahoo"
2539246,"0","std","MFL"
2539246,"0","std","MFL"
2553652,"0","std","MFL"
2539246,"0","std","MFL"
2539246,"0","std","MFL"
2539246,"0","std","MFL"
2553652,"0","std","MFL"
2539246,"0","std","MFL"
2539246,"0.0","std","ESPN"
2539246,"0.0","std","ESPN"
2553652,"0.0","std","ESPN"
2539246,"0.0","std","ESPN"
2539246,"0","std","Yahoo"
2539246,"0","std","Yahoo"
2553652,"0","std","Yahoo"
2539246,"0","std","Yahoo"
2539246,"0","std","Yahoo"
2539246,"0","std","Yahoo"
2553652,"0","std","Yahoo"
2539246,"0","std","Yahoo"
2530510,"1","std","MFL"
