"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk"
"JULIUSTHOMAS","Julius Thomas","TE","DEN",33,36.9,2,171.645648126651,188.145,179.875,182.375,187.375,187.375,181.125,190.375,177.875,165,178.5,152.25,160.25,119.75,168.5,NA,148.25,170.948291666667,171.645648126651,53.2907238502209,8,19.4073593797621,4.41097658306865
"VINCENTJACKSON","Vincent Jackson","WR","TB",34,34.3,11,196.458464441395,331.06,201.375,188.75,203.575,NA,196.2375,210.25,190.625,194.875,186.25,194.425,198,187.875,211.95,NA,184.4,206.583430735931,196.458464441395,53.0592427517844,5.2,37.0607926718845,5.83145354775081
"RASHADJENNINGS","Rashad Jennings","RB","NYG",35,42.8,19,169.902363347203,171.49,170.95,155.45,165.25,NA,166.765,163.875,196.15,169.375,172.875,176.1,162.25,163.05,192.85,NA,168.15,168.926476190476,169.902363347203,51.9745491461328,13.9,11.210514197459,4.23765199434569
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",36,36.7,3,168.902637127057,170.12,185.25,187.875,163,163,172.5625,228.35,140.125,193.75,170,149.125,178.75,123.5,169.125,NA,192.9,172.163239583333,168.902637127057,50.5477128506269,15.1,24.8197797021707,5.68773183778899
"CJSPILLER","C.J. Spiller","RB","BUF",37,40.4,20,168.095830450811,142.195,184.45,154.175,175.6,NA,169.9525,190.45,158.35,173.325,183.75,173.225,168.25,176.725,185.625,NA,168.225,168.667666666667,168.095830450811,50.1680162497408,12.6,13.2478368400631,4.29832552941686
"JOIQUEBELL","Joique Bell","RB","DET",38,49.1,21,166.724745977875,154.035,190.7,162.075,175.325,NA,170.0125,161.55,178.575,175.5,178.25,168.9,152.75,195.025,181.875,NA,151.6,167.854702380952,166.724745977875,48.7969317768047,12,13.5977794590021,4.26892775352064
"FRANKGORE","Frank Gore","RB","SF",39,46.7,22,164.932923277133,134.95,173.425,151.15,176.55,NA,167.6375,198.7,179.275,155.675,159.25,155,162,140.35,181.5,NA,163.975,161.857202380952,164.932923277133,47.005109076063,8.6,16.9787250976313,4.23826236013209
"ANDREJOHNSON","Andre Johnson","WR","HOU",40,37.6,12,188.414175302624,179.675,198,188.375,212.875,NA,192.9125,210.5,172.125,182.25,181.25,178.75,201.625,162.25,214.75,NA,179,189.916726190476,188.414175302624,45.0149536130133,8.9,16.0394297861243,4.17864572811008
"KEENANALLEN","Keenan Allen","WR","SD",41,34.1,13,187.668917154342,223.145,186.625,177.125,178.625,NA,181.475,187.1,189.125,181.25,186.75,192.875,198,181,207.25,NA,177.525,188.945757575758,187.668917154342,44.2696954647314,7.1,12.9200444195133,3.68507817726549
"CHRISJOHNSON","Chris Johnson","RB","NYJ",42,64,23,161.903391518194,154.14,168.775,150.875,169.45,NA,163.535,183.9,183.75,160.3,158.25,155.025,191.125,184.375,174.15,NA,146.95,161.688642857143,161.903391518194,43.975577317124,13.8,14.1733770511112,4.51516182974999
"ANDREWLUCK","Andrew Luck","QB","IND",43,56.4,4,288.389160750172,352.51,302.58,275.36,279.34,293.98,284.47,288,294.1,295.96,301.8,293.5,298,256.2,306,NA,267.38,289.354708333333,288.389160750172,43.3068466336482,10.7,21.5799689527117,4.90762300453341
"BISHOPSANKEY","Bishop Sankey","RB","TEN",44,60,24,160.703099537935,NA,197.6,168.125,134.375,NA,172.4425,195.25,188.25,141.875,153.625,165.2,171.75,166.325,175.15,NA,132.6,163.538246336996,160.703099537935,42.7752853368641,21.6,21.1384112413325,6.01687163963215
"RAYRICE","Ray Rice","RB","BAL",45,64.1,25,159.01248098133,148.91,176.975,159.175,173.35,NA,169.37,150.75,180.225,139.3,143,146.425,149.75,169.15,168.725,NA,152.2,157.305023809524,159.01248098133,41.0846667802591,18.9,13.5546230556707,4.99409421720058
"VICTORCRUZ","Victor Cruz","WR","NYG",46,39,14,182.791067250929,199.655,179.375,167.875,172.25,NA,176.475,208.525,195.25,181.75,170.375,181.5,204.875,185.25,207.75,NA,179.475,185.234691558442,182.791067250929,39.3918455613183,10.1,14.097472339878,4.11667411603057
