"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"DENARIUSMOORE","Denarius Moore","WR",76.8762620410344,7.68093641180006,1,"OAK",194,184.4,81,185.045,98.625,59.375,98.8748899566826,NA,74.35,106.75,38.8748899566826,74.8748899566826,47.7498899566826,70.2498899566826,86.8748899566826,16.125,92.625,72.6173899566825,NA,49.875,79.59946875,76.8762620410344,-65.9049069708022,23.1,38.6955476472638,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,4.97673374242057
"DENNISDIXON","Dennis Dixon","QB",0,NA,1,"BUF",645,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-245.692910375086,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DENNISJOHNSON","Dennis Johnson","RB",23.9898582838824,4.46198565487014,1,"HOU",375,NA,103,NA,24.125,NA,NA,NA,18.105,NA,NA,NA,NA,NA,NA,NA,44.2,NA,NA,NA,10.80375,23.9898582838824,-96.5206639741021,NA,13.6637906526703,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DENNISPITTA","Dennis Pitta","TE",127.990144874134,6.16577958303173,5,"BAL",119,94.1,8,12.43,149,142,146.365,148,141.225,151.125,119.99,122.115,118.365,110.115,114.615,106.875,151,110.19625,NA,119.625,124.426470588235,127.990144874134,10.0502317610741,14.5,33.7068517406228,1.5,7,4.25,7,91.1,3.2,87.7,8,78,98.1,14.6,4.25,1,9.5792797987349
"DEONTETHOMPSON","Deonte Thompson","WR",6.64375,2.66687183261924,1,"BAL",521,NA,212,NA,NA,NA,NA,NA,10.7875,10.75,NA,5.625,NA,4,2.5,NA,NA,NA,NA,NA,4.80892857142857,6.64375,-136.137419011837,NA,3.84676812402307,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DEREKANDERSON","Derek Anderson","QB",6.82107720056909,3.14328228919717,1,"CAR",518,NA,60,2.16,19.86,NA,NA,NA,9.67,0.58,1.24,12.26,1.4,7.3,8.9,NA,NA,NA,NA,NA,7.04111111111111,6.82107720056909,-238.871833174517,NA,6.45213616650417,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DEREKCARR","Derek Carr","QB",39.577030156796,10.3393424537933,1,"OAK",297,NA,38,0.3,22.84,69.26,-7.64993205661414,0.3,34.022,159.42,4.35006794338586,31.2700679433859,36.6500679433859,45.9300679433859,31.3500679433859,NA,23.98,-7.64993205661414,NA,108.25,51.3150909090909,39.577030156796,-206.11588021829,NA,45.8055653907079,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DEREKHAGAN","Derek Hagan","WR",3,NA,1,"TEN",577,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,3,3,-139.781169011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DEREKMOYE","Derek Moye","WR",6.9375,3.81274952942296,1,"PIT",514,NA,210,NA,NA,NA,NA,NA,24.675,NA,NA,7.75,2.5,4.5,NA,NA,NA,NA,NA,NA,9.85625,6.9375,-135.843669011837,NA,10.1132828291971,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DERRICKCOLEMAN","Derrick Coleman","RB",6.87606121220646,3.56007661460447,1,"SEA",515,NA,150,NA,25.55,13.05,NA,NA,19.3,3,NA,6.15,3.425,5.725,NA,NA,NA,NA,NA,NA,9.525,6.87606121220646,-113.634461045778,NA,8.73147869711054,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
