"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"MARVINJONES","MarvinJones","WR","CIN",135.392,12.9583223315003,0.373134328358209,8.8956,144
"JUSTINTUCKER","JustinTucker","K","BAL",135.646766169154,6.8688338512549,1,2.9652,137
"STEVESMITH","SteveSmith","WR","BAL",135.803389830508,10.7092998891722,0.293532338308458,8.8956,142
"JAMESJONES","JamesJones","WR","OAK",135.860962566845,20.3455912485552,0.372139303482587,4.4478,146
"STEVENHAUSCHKA","StevenHauschka","K","SEA",135.894527363184,3.08621467439188,1,2.9652,137
"CJANDERSON","CJAnderson","RB","DEN",136,NA,0.00099502487562189,NA,136
"CINCINNATI","Cincinnati","DEF","CIN",136.2502596054,7.19903315833893,0.958208955223881,7.413,136
"MASONCROSBY","MasonCrosby","K","GB",137.043613707165,4.49024910572853,0.958208955223881,2.9652,136
"CHICAGO","Chicago","DEF","CHI",137.219512195122,9.05269128558989,0.081592039800995,9.05269128558989,146
"CHRISIVORY","ChrisIvory","RB","NYJ",137.666666666667,10.7865934200544,0.250746268656716,12.6021,140
"AARONDOBSON","AaronDobson","WR","NE",137.674698795181,12.6163377505329,0.247761194029851,22.239,135
"TAMPABAY","TampaBay","DEF","TB",137.903614457831,6.59589304327588,0.165174129353234,1.4826,132
"CHARLESCLAY","CharlesClay","TE","MIA",137.993103448276,7.99090880646721,0.288557213930348,8.8956,137
"GREGZUERLEIN","GregZuerlein","K","STL",138.251497005988,5.30252199372949,0.332338308457711,7.413,140
"JOHNNYMANZIEL","JohnnyManziel","QB","CLE",138.505514705882,10.7080788639898,0.541293532338308,10.3782,141
"GREENBAY","GreenBay","DEF","GB",139,0,0.0407960199004975,0,139
"ROBBIEGOULD","RobbieGould","K","CHI",139.123076923077,6.3098013642316,0.582089552238806,8.8956,141
"BLAIRWALSH","BlairWalsh","K","MIN",139.163302752294,5.82534807957826,0.54228855721393,7.413,141
"JOSHMCCOWN","JoshMcCown","QB","TB",139.215639810427,9.4395660928866,0.419900497512438,7.413,143
