"name","player","pos","team","points","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"BEARPASCOE","Bear Pascoe","TE","ATL",14.3732389074629,-106.222749577053,0,22,10.8634397368728,3.68561023170405,1,1,1,1
"BEAUBRINKLEY","Beau Brinkley","TE","TEN",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BENHARTSOCK","Ben Hartsock","TE","CAR",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BENJAMINCUNNINGHAM","Benjamin Cunningham","RB","STL",45.85,-78.2644752140653,NA,NA,NA,NA,1,1,1,1
"BENJAMINWATSON","Benjamin Watson","TE","NO",28.8525482274062,-91.7434402571097,0,NA,18.467565881386,4.71728499039732,1,1,1,1
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",38.75,-85.3644752140653,NA,70.7,NA,8.72113482277487,1,1,1,1
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",93.49375,-30.6207252140653,0,44.2,15.4460553216671,4.97534053537616,1,1,1,1
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",142.965002681866,1.21740148838811,0.693147180559945,13.78585,18.7301157408775,4.40762961822083,4.2,5,1,1
"BENTATE","Ben Tate","RB","CLE",154.05625,29.9417747859347,1.38629436111989,7.72065,32.2118669902879,4.31381973253755,7.4,9,1,1
"BERNARDPIERCE","Bernard Pierce","RB","BAL",98.4125,-25.7019752140653,0.693147180559945,21.6,39.3609915557268,5.40394566660165,4.6,5,1,1
"BERNARDSCOTT","Bernard Scott","RB","BAL",0,-124.114475214065,NA,NA,NA,NA,1,1,1,1
"BILALPOWELL","Bilal Powell","RB","NYJ",51.7202358946796,-72.3942393193857,0,51.3,12.8145399798757,5.14323945258579,1,1,1,1
"BILLYBAJEMA","Billy Bajema","TE","BAL",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BILLYCUNDIFF","Billy Cundiff","K","CLE",0,NA,NA,20.95,NA,3.44440506825643,1,1,1,1
"BILLYVOLEK","Billy Volek","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BISHOPSANKEY","Bishop Sankey","RB","TEN",141.912484788755,17.7980095746893,0,17.4239,24.771004344798,4.30500713546793,15.6,16,1,1
"BJDANIELS","B.J. Daniels","QB","SEA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BLAINEGABBERT","Blaine Gabbert","QB","SF",4.028,-137.719601193478,0,NA,5.60699039889791,3.25802005881131,1,1,1,1
"BLAIRWALSH","Blair Walsh","K","MIN",0,NA,NA,22.8,NA,3.66509741306434,0.55,1,1,1
"BLAKEANNEN","Blake Annen","TE","CHI",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BLAKEBORTLES","Blake Bortles","QB","JAC",89.5823664839578,-52.16523470952,0,58.1804,45.5037743049958,7.76801386886957,1,1,1,1
